ID_Uzorka;GPS_LAT;GPS_LONG
1;18,48006;77,391532
2;18,494971;77,386758
3;18,473157;77,389094
4;18,47189;77,388212
5;18,484439;77,390898
6;18,481702;77,385536
7;18,466932;77,395657
8;18,480896;77,391738
9;18,4794;77,383633
10;18,4705;77,374125
11;18,490121;77,404148
12;18,471133;77,388248
13;18,481142;77,395137
14;18,476165;77,393749
15;18,480704;77,390406
16;18,472923;77,399226
17;18,479234;77,375879
18;18,476011;77,392425
19;18,488209;77,40284
20;18,495887;77,392128
21;18,484608;77,38263
22;18,487631;77,390496
23;18,482113;77,385109
24;18,478661;77,373635
25;18,485442;77,405292
26;18,473292;77,365984
27;18,492726;77,391635
28;18,489088;77,373186
29;18,479544;77,389529
30;18,472494;77,387979
31;18,475977;77,386339
32;18,472703;77,407272
33;18,486454;77,381216
34;18,482537;77,39375
35;18,481037;77,394718
36;18,485172;77,373054
37;18,468516;77,379058
38;18,475671;77,399503
39;18,470834;77,386714
40;18,47687;77,369796
41;18,46586;77,407017
42;18,479318;77,392191
43;18,494325;77,384651
44;18,472776;77,373648
45;18,479061;77,391354
46;18,480722;77,374761
47;18,48144;77,38651
48;18,491869;77,376678
49;18,491949;77,390798
50;18,489152;77,4032
51;18,477623;77,379837
52;18,473272;77,371229
53;18,473746;77,385823
54;18,463778;77,385312
55;18,49451;77,396581
56;18,482761;77,38884
57;18,470291;77,39613
58;18,481189;77,377237
59;18,476009;77,393488
60;18,484295;77,362108
61;18,473037;77,383399
62;18,484693;77,39185
63;18,479271;77,382267
64;18,481316;77,404523
65;18,468714;77,396269
66;18,481217;77,38161
67;18,488397;77,381922
68;18,480083;77,394631
69;18,480983;77,399086
70;18,490754;77,36692
71;18,49342;77,402264
72;18,478982;77,374404
73;18,469451;77,384448
74;18,480496;77,390728
75;18,482414;77,397784
76;18,498848;77,401065
77;18,487792;77,378696
78;18,489536;77,402254
79;18,470554;77,393696
80;18,470896;77,393728
81;18,501119;77,390886
82;18,467208;77,379569
83;18,484429;77,39826
84;18,465416;77,388088
85;18,478522;77,400965
86;18,479628;77,378115
87;18,477239;77,386321
88;18,495972;77,382609
89;18,49154;77,377619
90;18,486499;77,383418
91;18,463853;77,399393
92;18,467101;77,387034
93;18,490882;77,382424
94;18,483449;77,384349
95;18,482022;77,387115
96;18,481772;77,395229
97;18,474696;77,393332
98;18,472812;77,385387
99;18,498991;77,37743
100;18,474811;77,388219
101;18,479801;77,383009
102;18,470011;77,373558
103;18,483249;77,389214
104;18,48894;77,395165
105;18,489878;77,38964
106;18,475964;77,397023
107;18,474005;77,395853
108;18,482077;77,382273
109;18,485471;77,399271
110;18,472728;77,377754
111;18,472922;77,383154
112;18,484161;77,386072
113;18,467865;77,394239
114;18,488521;77,387703
115;18,493838;77,38326
116;18,471491;77,398117
117;18,471171;77,384282
118;18,485269;77,399407
119;18,476177;77,395987
120;18,475845;77,404192
121;18,479613;77,388761
122;18,476562;77,370841
123;18,48057;77,403253
124;18,486533;77,378463
125;18,475988;77,381364
126;18,481536;77,395219
127;18,466147;77,404049
128;18,473437;77,393497
129;18,482026;77,399009
130;18,486389;77,394384
131;18,489239;77,379034
132;18,471085;77,398606
133;18,484836;77,393706
134;18,486542;77,399666
135;18,474424;77,385995
136;18,466;77,410347
137;18,480289;77,392976
138;18,490532;77,379124
139;18,486824;77,383099
140;18,475783;77,391352
141;18,49067;77,400103
142;18,478445;77,384638
143;18,476892;77,372196
144;18,465117;77,403934
145;18,484626;77,379914
146;18,488069;77,402624
147;18,460983;77,389539
148;18,474388;77,398023
149;18,472795;77,398749
150;18,485051;77,396498
151;18,471253;77,381547
152;18,464478;77,390372
153;18,461521;77,387003
154;18,482878;77,37287
155;18,491799;77,392372
156;18,473755;77,38656
157;18,476558;77,385132
158;18,493338;77,38125
159;18,478284;77,395502
160;18,470913;77,402584
161;18,483343;77,380517
162;18,479859;77,397594
163;18,47164;77,399883
164;18,465702;77,380102
165;18,463501;77,384999
166;18,489605;77,388829
167;18,463647;77,397112
168;18,491929;77,376186
169;18,487105;77,413225
170;18,486851;77,390403
171;18,464853;77,394079
172;18,492996;77,384401
173;18,471947;77,397061
174;18,474068;77,395366
175;18,480516;77,398709
176;18,463895;77,388431
177;18,460013;77,405088
178;18,496286;77,386864
179;18,479714;77,372376
180;18,472209;77,382539
181;18,485107;77,375531
182;18,478393;77,393674
183;18,469019;77,397821
184;18,484785;77,389334
185;18,514569;77,369523
186;18,46715;77,3941
187;18,484052;77,386287
188;18,478295;77,380889
189;18,479777;77,393151
190;18,481871;77,378899
191;18,489811;77,404483
192;18,479588;77,390065
193;18,488277;77,391917
194;18,461408;77,402783
195;18,464101;77,381571
196;18,478231;77,387227
197;18,474003;77,411803
198;18,494836;77,399888
199;18,482488;77,404827
200;18,473206;77,378148
201;18,473595;77,384586
202;18,478255;77,393265
203;18,476364;77,392468
204;18,507396;77,391083
205;18,495153;77,391726
206;18,484646;77,374479
207;18,48346;77,394868
208;18,468637;77,383494
209;18,495111;77,390175
210;18,484519;77,40451
211;18,469311;77,390681
212;18,482715;77,405759
213;18,477873;77,404777
214;18,474659;77,385232
215;18,475074;77,399753
216;18,476742;77,387307
217;18,474621;77,390625
218;18,488808;77,397756
219;18,463771;77,396424
220;18,489203;77,376949
221;18,476867;77,384172
222;18,472958;77,387781
223;18,48825;77,392222
224;18,482186;77,384672
225;18,492056;77,395575
226;18,480616;77,40355
227;18,457646;77,399552
228;18,487022;77,387946
229;18,480805;77,395566
230;18,474408;77,399028
231;18,492615;77,386509
232;18,484318;77,402914
233;18,499975;77,369123
234;18,493012;77,383587
235;18,494911;77,408388
236;18,468088;77,393807
237;18,474676;77,403209
238;18,489701;77,390699
239;18,480291;77,397276
240;18,479616;77,391631
241;18,473023;77,407546
242;18,46692;77,39423
243;18,476094;77,402441
244;18,49366;77,41038
245;18,481079;77,392468
246;18,494539;77,398056
247;18,465337;77,389716
248;18,46969;77,398023
249;18,476371;77,381346
250;18,486575;77,395516
251;18,48609;77,369944
252;18,477373;77,375916
253;18,462417;77,398133
254;18,481703;77,389988
255;18,482177;77,394673
256;18,462374;77,391919
257;18,466361;77,409148
258;18,479216;77,382012
259;18,466202;77,39376
260;18,480454;77,409186
261;18,490438;77,391821
262;18,483001;77,406413
263;18,478149;77,398512
264;18,48549;77,386116
265;18,494459;77,387871
266;18,480824;77,365119
267;18,476641;77,411445
268;18,476193;77,39623
269;18,487336;77,389735
270;18,468228;77,39203
271;18,469918;77,413891
272;18,477046;77,387264
273;18,481889;77,385807
274;18,480503;77,386368
275;18,473165;77,388602
276;18,488804;77,390171
277;18,476759;77,378256
278;18,463675;77,396396
279;18,474395;77,391719
280;18,478972;77,417597
281;18,468716;77,392494
282;18,455745;77,380769
283;18,491222;77,36897
284;18,484158;77,41943
285;18,486291;77,390827
286;18,486682;77,390888
287;18,489152;77,377311
288;18,490413;77,39742
289;18,474581;77,386483
290;18,479053;77,389211
291;18,480935;77,38449
292;18,489153;77,392985
293;18,475626;77,415247
294;18,494341;77,3749
295;18,482762;77,377962
296;18,479266;77,384586
297;18,479582;77,406825
298;18,481678;77,400968
299;18,463927;77,392143
300;18,484874;77,39237
301;18,481064;77,390636
302;18,478;77,398882
303;18,490027;77,38031
304;18,452882;77,37792
305;18,491048;77,381724
306;18,48895;77,375832
307;18,464831;77,392275
308;18,492458;77,392341
309;18,469653;77,401235
310;18,494393;77,390979
311;18,491831;77,383811
312;18,478089;77,396927
313;18,470799;77,373818
314;18,468911;77,390532
315;18,491091;77,401934
316;18,459211;77,379793
317;18,482931;77,402732
318;18,471194;77,394411
319;18,495308;77,378996
320;18,475488;77,390923
321;18,499222;77,402752
322;18,477325;77,402779
323;18,475226;77,410067
324;18,495755;77,377392
325;18,476506;77,396082
326;18,490579;77,400601
327;18,482652;77,398342
328;18,500928;77,380194
329;18,479564;77,394584
330;18,487573;77,40785
331;18,471916;77,406288
332;18,473514;77,394936
333;18,465225;77,393527
334;18,484336;77,390634
335;18,488947;77,395709
336;18,48661;77,404473
337;18,482384;77,388301
338;18,496335;77,392557
339;18,508185;77,39616
340;18,484524;77,387386
341;18,480623;77,390824
342;18,457623;77,3963
343;18,484736;77,370547
344;18,461035;77,385403
345;18,480536;77,384459
346;18,481116;77,385445
347;18,482324;77,38281
348;18,484004;77,397871
349;18,489807;77,406555
350;18,472756;77,370353
351;18,481437;77,398751
352;18,483807;77,376163
353;18,467567;77,389074
354;18,473738;77,384196
355;18,478453;77,373937
356;18,472101;77,37987
357;18,486933;77,41001
358;18,487946;77,386568
359;18,498154;77,401176
360;18,477639;77,395789
361;18,488912;77,390491
362;18,471546;77,380316
363;18,479818;77,383865
364;18,478012;77,377331
365;18,478656;77,412627
366;18,488815;77,377367
367;18,473997;77,403953
368;18,469422;77,380322
369;18,491795;77,398884
370;18,475127;77,385053
371;18,492115;77,388225
372;18,484351;77,374117
373;18,479155;77,395843
374;18,468225;77,411457
375;18,469122;77,389127
376;18,477552;77,379254
377;18,488258;77,40479
378;18,475771;77,37018
379;18,493002;77,39902
380;18,484089;77,394973
381;18,484836;77,3904
382;18,475052;77,398337
383;18,481651;77,379515
384;18,489705;77,376135
385;18,484851;77,378425
386;18,468824;77,412778
387;18,465546;77,383222
388;18,486177;77,383179
389;18,477498;77,39186
390;18,482256;77,384362
391;18,489594;77,399741
392;18,466379;77,399917
393;18,476992;77,404949
394;18,466908;77,393964
395;18,47338;77,390859
396;18,480346;77,408199
397;18,473993;77,390316
398;18,489274;77,373388
399;18,489987;77,393095
400;18,491282;77,400522
401;18,47901;77,394071
402;18,467147;77,394584
403;18,479911;77,390622
404;18,486987;77,395408
405;18,485271;77,388872
406;18,476518;77,379973
407;18,465257;77,389363
408;18,495544;77,370997
409;18,471368;77,380091
410;18,487477;77,394878
411;18,469524;77,378039
412;18,488932;77,390064
413;18,460896;77,380003
414;18,495722;77,391861
415;18,482756;77,395875
416;18,478925;77,382609
417;18,471124;77,395918
418;18,487127;77,388919
419;18,477088;77,389328
420;18,484453;77,36674
421;18,486234;77,384704
422;18,482452;77,409441
423;18,472422;77,382734
424;18,489071;77,378278
